Date,use [kW]_x,gen [kW]_x,KitchenDenLights [kW],MasterBedBathLights [kW],MasterOutlets [kW]_x,DenOutdoorLights [kW],DenOutlets [kW],RearBasementLights [kW],KitchenOutletsEast [kW],KitchenOutletsSouth [kW],DishwasherDisposalSinkLight [kW],Refrigerator [kW],Microwave [kW],OfficeLights [kW],use [kW]_y,gen [kW]_y,ElectricRange [kW],Dryer [kW],GarageMudroomLights [kW],DiningRoomOutlets [kW],MudroomOutlets [kW],MasterBathOutlets [kW],GarageOutlets [kW],BasementOutdoorOutlets [kW],use [kW],gen [kW],FurnaceHRV [kW],CellarOutlets [kW],WashingMachine [kW],FridgeRange [kW],DisposalDishwasher [kW],KitchenLights [kW],BedroomOutlets [kW],BedroomLights [kW],MasterOutlets [kW]_y,MasterLights [kW],DuctHeaterHRV [kW]
2015-01-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0035705570000000002,0.01042222,0.060105001,0.0,0.0,0.0,0.0,0.0,0,0,9.821165553,2.531689996,0.017238892000000002,0.004453888999999999,0.0032277779999999997,0.0008011110000000001,0.5446955569999999,0.22718610900000002,0.618604444,0.4300311089999999,1.657239444
2015-01-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.002173883,0.006767777,0.310317219,0.0,0.0,0.0,0.0,0.0,0,0,5.812652778,3.283038334,0.0065605559999999995,0.003499999,0.002149445,0.0007400030000000001,0.545604446,0.231415,0.6212294439999999,1.9936466689999999,1.661882222
2015-01-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.002792775999999999,0.008771666000000001,0.05779778,0.0,0.0,0.0,0.0,0.0,0,0,6.368030000999998,2.5563555550000006,0.007238888,0.0035711130000000003,0.002725559,0.0007716700000000002,0.5450911110000001,0.22668110999999994,0.6186861129999999,0.4303494479999999,1.6887288859999998
2015-01-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0025611110000000005,0.008041663999999999,0.05680555499999998,0.0,0.0,0.0,0.0,0.0,0,0,5.275191664000001,2.514862777,0.006098334000000001,0.0032966659999999997,0.002659444,0.000713884,0.545302777,0.2268927749999999,0.617286111,0.429975551,1.6278649999999997
2015-01-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0028716679999999995,0.008738891,0.4480466660000001,0.0,0.0,0.0,0.0,0.0,0,0,7.168342778,3.627638889,0.39536889199999997,0.004340554999999999,0.002898335,0.000771664,0.5441972239999999,0.22400611199999995,0.6180511120000001,2.172961664999999,1.6072033320000005
2015-01-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.004343888,0.010305553,0.925136669,0.0,0.0,0.0,0.0,0.0,0,0,9.597904444,3.9460961159999997,0.3777033309999999,0.006023333999999999,0.0032511090000000007,0.0008894470000000001,0.5450711060000001,0.225516112,0.39306610899999994,1.046059999,1.596830558
2015-01-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0047705529999999986,0.009390558,1.2467455580000004,0.0,0.0,0.0,0.0,0.0,0,0,11.241591666000003,3.6873844449999993,0.027283332999999993,0.013986664,0.003002777999999999,0.0010350030000000003,0.5444961090000002,0.24306722299999997,0.003842774999999999,0.9626005569999999,1.5990000010000003
2015-01-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.005708886,0.010423890000000003,0.041515553999999996,0.0,0.0,0.0,0.0,0.0,0,0,15.938119448000002,3.1045961109999993,0.05904888600000001,0.566186111,0.002669445999999999,0.001045557,0.537731111,0.23692611100000002,0.389927779,2.7468022220000003,1.6598222209999998
2015-01-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0041544500000000005,0.010862776,0.03984944499999999,0.0,0.0,0.0,0.0,0.0,0,0,10.790655558,3.745306668,0.03833944500000001,0.479331666,0.0024611140000000004,0.000989445,0.5414516659999999,0.725703332,0.9139633350000003,3.377989997999999,1.3721911130000006
2015-01-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.004953331999999999,0.008613333999999999,0.040546114,0.0,0.0,0.0,0.0,0.0,0,0,14.234390555000001,2.414922224,0.054719445000000005,0.08819332999999999,0.0033922200000000005,0.0006588849999999999,0.5392199990000001,1.3149516709999998,0.6040055580000001,0.3626261129999999,1.2644411100000006
