Date,use [kW]_x,gen [kW]_x,GuestHouseKitchen [kW]_x,GuestHouseKitchen [kW].1_x,GroundSourceHeatPump [kW]_x,Photovoltaics [kW]_x,WellPump [kW]_x,Range [kW]_x,SecondFloorBathroom [kW]_x,PanelReceptacles [kW]_x,KitchenReceptacles [kW]_x,KitchenReceptacles [kW].1,Microwave [kW]_x,Refrigerator [kW]_x,use [kW]_y,gen [kW]_y,FreshAirVentilation [kW],HousePanel [kW],LivingRoomReceptacles [kW],SecondFloorBathroom [kW]_y,WashingMachine [kW],Studies&amp;OutsideLighting [kW],DiningRoomReceptacles [kW],Basement&amp;HallLighting [kW],GuestHouseBathroom [kW],GuestHouseBedroom [kW],WorkshopReceptacleBathHeater [kW],GuestHouseKitchen [kW]_y,GuestHouseKitchen [kW].1_y,GroundSourceHeatPump [kW]_y,Photovoltaics [kW]_y,WellPump [kW]_y,Range [kW]_y,SecondFloorBathroom [kW].1,PanelReceptacles [kW]_y,KitchenReceptacles [kW]_y,Microwave [kW]_y,Refrigerator [kW]_y,NetHousePowerUsage [kW]_x,GarageReceptacles&amp;Lights [kW]_x,GarageReceptacles [kW]_x,ShedReceptacles [kW]_x,ShedLights [kW]_x,PanelReceptacles [kW].1,GaragePV [kW]_x,GuestHouseLivingRoom [kW]_x,MasterBedroom [kW]_x,HeatCirculatorPumps [kW]_x,DomesticHotWaterReserve [kW]_x,MasterBathroom [kW]_x,KitchenIsland [kW]_x,RadiantHeatReserveTank [kW]_x,BasementReceptacles [kW]_x,Dryer [kW]_x,KitchenLighting [kW]_x,GuestHouseDiningRoomRecept [kW]_x,Porch+VerandaLighting [kW]_x,use [kW]_x,gen [kW]_x,GuestHouseLivingRoom [kW]_y,MasterBedroom [kW]_y,HeatCirculatorPumps [kW]_y,DomesticHotWaterReserve [kW]_y,MasterBathroom [kW]_y,KitchenIsland [kW]_y,RadiantHeatReserveTank [kW]_y,BasementReceptacles [kW]_y,Dryer [kW]_y,KitchenLighting [kW]_y,GuestHouseDiningRoomRecept [kW]_y,Porch+VerandaLighting [kW]_y,use [kW]_y,gen [kW]_y,NetHousePowerUsage [kW]_y,GarageReceptacles [kW]_y,GarageReceptacles&amp;Lights [kW]_y,ShedReceptacles [kW]_y,ShedLights [kW]_y,PanelReceptacles [kW],GaragePV [kW]_y
2015-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093581111,0.004167778,0.0,0.0,0.0,0.0,0.0
2015-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
