temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
36.1,clear-night,0.62,10.0,Clear,29.47,1016.72,8.67,,1451624400,281,0.0,24.28,0.0
35.77,partly-cloudy-night,0.62,10.0,Mostly Cloudy,29.25,1016.08,8.34,0.84,1451628000,282,0.0,23.98,0.0
35.38,clear-night,0.62,10.0,Clear,29.1,1015.9,7.77,,1451631600,277,0.0,23.8,0.0
35.19,clear-night,0.63,10.0,Clear,30.35,1015.91,5.59,,1451635200,266,0.0,24.03,0.0
35.27,partly-cloudy-night,0.64,10.0,Mostly Cloudy,29.38,1015.67,7.09,0.75,1451638800,267,0.0,24.36,0.0
35.01,clear-night,0.65,10.0,Clear,29.55,1015.42,6.37,0.0,1451642400,265,0.0,24.55,0.0
34.72,clear-night,0.66,10.0,Clear,28.86,1015.38,6.88,0.0,1451646000,262,0.0,24.65,0.0
34.65,partly-cloudy-night,0.66,10.0,Mostly Cloudy,29.8,1015.57,5.46,0.84,1451649600,259,0.0,24.63,0.0
34.66,clear-day,0.67,10.0,Clear,29.32,1015.43,6.11,,1451653200,257,0.0,24.84,0.0
35.52,clear-day,0.64,10.0,Clear,30.5,1015.53,5.9,,1451656800,258,0.0,24.75,0.0
36.5,cloudy,0.62,10.0,Overcast,31.71,1015.51,5.83,1.0,1451660400,246,0.0,24.75,0.0
36.6,clear-day,0.62,10.0,Clear,30.67,1015.0,7.61,,1451664000,243,0.0,24.81,0.0
36.95,clear-day,0.59,10.0,Clear,30.21,1014.05,9.27,,1451667600,273,0.0,24.08,0.0
36.78,cloudy,0.59,10.0,Overcast,30.29,1013.21,8.71,1.0,1451671200,275,0.0,23.96,0.0
36.83,clear-day,0.59,9.69,Clear,31.09,1012.59,7.38,0.0,1451674800,271,0.0,23.89,0.0
36.25,clear-day,0.61,8.97,Clear,30.65,1012.33,6.96,,1451678400,262,0.0,23.95,0.0
35.51,partly-cloudy-day,0.62,9.87,Mostly Cloudy,28.91,1012.32,8.36,0.75,1451682000,257,0.0033,23.99,0.11
34.38,partly-cloudy-night,0.68,8.81,Partly Cloudy,28.02,1012.52,7.53,0.31,1451685600,254,0.0017,24.96,0.04
33.32,clear-night,0.7,8.55,Clear,26.73,1012.86,7.55,,1451689200,265,0.0017,24.67,0.04
32.56,partly-cloudy-night,0.7,8.36,Partly Cloudy,25.14,1013.45,8.64,0.55,1451692800,273,0.0,23.89,0.0
31.98,clear-night,0.67,9.88,Clear,24.79,1013.58,8.05,0.15,1451696400,276,0.0,22.38,0.0
31.01,clear-night,0.63,9.83,Clear,23.48,1013.71,8.26,0.18,1451700000,272,0.0,19.77,0.0
30.55,partly-cloudy-night,0.61,10.0,Partly Cloudy,23.33,1013.68,7.62,0.25,1451703600,268,0.0,18.59,0.0
30.08,clear-night,0.6,10.0,Clear,21.87,1013.84,9.05,0.17,1451707200,271,0.0,17.95,0.0
29.71,clear-night,0.61,10.0,Clear,21.98,1014.0,8.12,0.21,1451710800,277,0.0,17.78,0.0
29.28,partly-cloudy-night,0.61,10.0,Partly Cloudy,21.51,1014.04,8.03,0.25,1451714400,270,0.0,17.54,0.0
28.61,clear-night,0.64,10.0,Clear,20.53,1014.11,8.28,0.14,1451718000,270,0.0,17.89,0.0
29.04,clear-night,0.64,9.84,Clear,21.06,1014.23,8.28,0.2,1451721600,268,0.0,18.28,0.0
29.33,partly-cloudy-night,0.64,10.0,Mostly Cloudy,21.98,1014.03,7.41,0.61,1451725200,259,0.0,18.72,0.0
29.18,partly-cloudy-night,0.65,10.0,Partly Cloudy,21.59,1014.2,7.73,0.31,1451728800,252,0.0,18.96,0.0
29.07,partly-cloudy-night,0.64,9.93,Partly Cloudy,22.03,1014.59,6.9,0.31,1451732400,257,0.0,18.55,0.0
28.78,partly-cloudy-night,0.64,10.0,Partly Cloudy,21.53,1015.04,7.13,0.35,1451736000,252,0.0,18.05,0.0
28.73,clear-day,0.62,10.0,Clear,20.76,1015.43,8.15,0.2,1451739600,254,0.0,17.55,0.0
30.59,clear-day,0.57,10.0,Clear,23.03,1015.86,8.15,0.09,1451743200,255,0.0,17.21,0.0
31.92,clear-day,0.54,10.0,Clear,23.76,1016.13,9.74,0.17,1451746800,260,0.0,17.2,0.0
33.22,partly-cloudy-day,0.51,10.0,Partly Cloudy,25.13,1015.7,10.21,0.27,1451750400,265,0.0,17.19,0.0
34.64,clear-day,0.49,10.0,Clear,26.72,1014.71,10.58,0.17,1451754000,277,0.0,17.32,0.0
34.89,partly-cloudy-day,0.48,10.0,Partly Cloudy,26.6,1014.2,11.55,0.34,1451757600,268,0.0,17.43,0.0
